date,v1
2018-02-05,11.01
2018-02-06,11.04
2018-02-07,11.01
2018-02-08,10.68
2018-02-09,10.89
2018-02-12,10.91
2018-02-13,10.94
2018-02-14,11.08
2018-02-15,11.18
2018-02-16,11.18
2018-02-20,11.05
2018-02-21,10.83
2018-02-22,11.27
2018-02-23,11.41
2018-02-26,11.4
2018-02-27,11.18
2018-02-28,11.3
2018-03-01,11.39
2018-03-02,11.43
2018-03-05,11.46
2018-03-06,11.49
2018-03-07,11.63
2018-03-08,11.72
2018-03-09,11.78
2018-03-12,11.79
2018-03-13,11.78
2018-03-14,11.75
2018-03-15,11.76
2018-03-16,11.84
2018-03-19,11.74
2018-03-20,11.6
2018-03-21,11.54
2018-03-22,11.47
2018-03-23,11.38
2018-03-26,11.54
2018-03-27,11.67
2018-03-28,11.78
2018-03-29,11.86
2018-04-02,11.75
2018-04-03,11.84
2018-04-04,11.88
2018-04-05,11.78
2018-04-06,11.76
2018-04-09,11.74
2018-04-10,11.84
2018-04-11,11.8
2018-04-12,11.73
2018-04-13,11.75
2018-04-16,11.83
2018-04-17,11.95
2018-04-18,11.96
2018-04-19,11.72
2018-04-20,11.75
2018-04-23,11.77
2018-04-24,11.91
2018-04-25,11.96
2018-04-26,12.01
2018-04-27,12.09
2018-04-30,12.04
2018-05-01,12.13
2018-05-02,12.11
2018-05-03,12.07
2018-05-04,12.25
2018-05-07,12.25
2018-05-08,12.23
2018-05-09,12.35
2018-05-10,12.33
2018-05-11,12.33
2018-05-14,12.11
2018-05-15,11.62
2018-05-16,11.55
2018-05-17,11.52
2018-05-18,11.44
2018-05-21,11.41
2018-05-22,11.33
2018-05-23,11.37
2018-05-24,11.39
2018-05-25,11.36
2018-05-29,11.39
2018-05-30,11.67
2018-05-31,11.46
2018-06-01,11.49
2018-06-04,11.63
2018-06-05,11.48
2018-06-06,11.38
2018-06-07,11.57
2018-06-08,11.53
2018-06-11,11.52
2018-06-12,11.53
2018-06-13,11.53
2018-06-14,11.67
2018-06-15,11.66
2018-06-18,11.7
2018-06-19,11.58
2018-06-20,11.74
2018-06-21,11.77
2018-06-22,11.76
2018-06-25,11.84
2018-06-26,11.95
2018-06-27,11.88
2018-06-28,11.99
2018-06-29,12
2018-07-02,11.86
2018-07-03,12.01
2018-07-05,12.01
2018-07-06,12.05
2018-07-09,12.06
2018-07-10,12.05
2018-07-11,12.1
2018-07-12,12.19
2018-07-13,12.16
2018-07-16,12.11
2018-07-17,12.06
2018-07-18,12.21
2018-07-19,12.27
2018-07-20,12.25
2018-07-23,12.21
2018-07-24,11.97
2018-07-25,11.97
2018-07-26,12.11
2018-07-27,12
2018-07-30,11.97
2018-07-31,12.03
2018-08-01,12.06
2018-08-02,12.09
2018-08-03,12.22
2018-08-06,12.26
2018-08-07,12.28
2018-08-08,12.26
2018-08-09,12.4
2018-08-10,12.15
2018-08-13,11.95
2018-08-14,11.79
2018-08-15,11.83
2018-08-16,12.09
2018-08-17,12.08
2018-08-20,12.04
2018-08-21,11.97
2018-08-22,11.92
2018-08-23,12.12
2018-08-24,12.1
2018-08-27,12.01
2018-08-28,12.22
2018-08-29,12.18
2018-08-30,12.18
2018-08-31,12.17
2018-09-04,12.06
2018-09-05,12.1
2018-09-06,12.14
2018-09-07,12.16
2018-09-10,12.24
2018-09-11,12.38
2018-09-12,12.22
2018-09-13,12.39
2018-09-14,12.27
2018-09-17,12.34
2018-09-18,12.32
2018-09-19,12.19
2018-09-20,12.31
2018-09-21,12.46
2018-09-24,12.15
2018-09-25,12.12
2018-09-26,11.83
2018-09-27,11.83
2018-09-28,11.93
2018-10-01,11.83
2018-10-02,11.83
2018-10-03,11.7
2018-10-04,11.56
2018-10-05,11.5
2018-10-08,11.64
2018-10-09,11.65
2018-10-10,11.43
2018-10-11,11.02
2018-10-12,10.98
2018-10-15,11.14
2018-10-16,11.35
2018-10-17,11.33
2018-10-18,11.39
2018-10-19,11.39
2018-10-22,11.3
2018-10-23,11.44
2018-10-24,11.46
2018-10-25,11.44
2018-10-26,11.38
2018-10-29,11.63
2018-10-30,11.51
2018-10-31,11.39
2018-11-01,11.37
2018-11-02,11.05
2018-11-05,10.79
2018-11-06,10.94
2018-11-07,11.09
2018-11-08,11.28
2018-11-09,11.3
2018-11-12,11.27
2018-11-13,11.27
2018-11-14,11.12
2018-11-15,10.98
2018-11-16,10.88
2018-11-19,10.89
2018-11-20,10.78
2018-11-21,10.84
2018-11-23,10.84
2018-11-26,10.9
2018-11-27,11.06
2018-11-28,11.2
2018-11-29,11.13
2018-11-30,11.17
2018-12-03,11.19
2018-12-04,11.05
2018-12-06,11.37
2018-12-07,11.33
2018-12-10,11.3
2018-12-11,11.25
2018-12-12,11.06
2018-12-13,11.18
2018-12-14,11.12
2018-12-17,10.8
2018-12-18,10.86
2018-12-19,10.74
2018-12-20,10.62
2018-12-21,10.43
2018-12-24,10.11
2018-12-26,10.43
2018-12-27,10.47
2018-12-28,10.41
2018-12-31,10.45
2019-01-02,10.27
2019-01-03,10.34
2019-01-04,10.38
2019-01-07,10.32
2019-01-08,10.52
2019-01-09,10.46
2019-01-10,10.6
2019-01-11,10.71
2019-01-14,10.64
2019-01-15,10.69
2019-01-16,10.82
2019-01-17,11.06
2019-01-18,11.08
2019-01-22,10.99
2019-01-23,11
2019-01-24,11.04
2019-01-25,11.27
2019-01-28,11.45
2019-01-29,11.61
2019-01-30,11.64
2019-01-31,11.73
2019-02-01,11.75
2019-02-04,11.95
2019-02-05,11.96
2019-02-06,11.73
2019-02-07,11.79
2019-02-08,11.9
2019-02-11,11.95
2019-02-12,11.91
2019-02-13,11.96
2019-02-14,11.86
2019-02-15,12.26
2019-02-19,12.32
2019-02-20,12.11
2019-02-21,12.11
2019-02-22,12.02
2019-02-25,11.99
2019-02-26,12.01
2019-02-27,12.02
2019-02-28,11.99
2019-03-01,11.88
2019-03-04,12.09
2019-03-05,12.13
2019-03-06,12.18
2019-03-07,12.17
2019-03-08,12.22
2019-03-11,12.27
2019-03-12,12.26
2019-03-13,12.33
2019-03-14,12.44
2019-03-15,12.44
2019-03-18,12.27
2019-03-19,12.15
2019-03-20,12.15
2019-03-21,12.44
2019-03-22,12.53
