date_idx,debt_to_equity_ratio
1,3.8787777777777777
2,3.8775555555555554
3,3.876333333333333
4,3.875111111111111
5,3.8738888888888887
6,3.8726666666666665
7,3.8714444444444442
8,3.870222222222222
9,3.8689999999999998
10,3.8677777777777775
11,3.8665555555555553
12,3.865333333333333
13,3.864111111111111
14,3.8628888888888886
15,3.8616666666666664
16,3.8604444444444446
17,3.8592222222222223
18,3.858
19,3.856777777777778
20,3.8555555555555556
21,3.8543333333333334
22,3.853111111111111
23,3.851888888888889
24,3.8506666666666667
25,3.8494444444444444
26,3.848222222222222
27,3.847
28,3.8457777777777777
29,3.8445555555555555
30,3.8433333333333333
31,3.842111111111111
32,3.840888888888889
33,3.8396666666666666
34,3.8384444444444443
35,3.837222222222222
36,3.836
37,3.8347777777777776
38,3.8335555555555554
39,3.832333333333333
40,3.831111111111111
41,3.8298888888888887
42,3.8286666666666664
43,3.827444444444444
44,3.826222222222222
45,3.825
46,3.823777777777778
47,3.8225555555555557
48,3.8213333333333335
49,3.8201111111111112
50,3.818888888888889
51,3.8176666666666668
52,3.8164444444444445
53,3.8152222222222223
54,3.814
55,3.812777777777778
56,3.8115555555555556
57,3.8103333333333333
58,3.809111111111111
59,3.807888888888889
60,3.8066666666666666
61,3.8054444444444444
62,3.804222222222222
63,3.803
64,3.8017777777777777
65,3.8005555555555555
66,3.7993333333333332
67,3.798111111111111
68,3.7968888888888888
69,3.7956666666666665
70,3.7944444444444443
71,3.793222222222222
72,3.792
73,3.7907777777777776
74,3.7895555555555553
75,3.788333333333333
76,3.7871111111111113
77,3.785888888888889
78,3.784666666666667
79,3.7834444444444446
80,3.7822222222222224
81,3.781
82,3.779777777777778
83,3.7785555555555557
84,3.7773333333333334
85,3.776111111111111
86,3.774888888888889
87,3.7736666666666667
88,3.7724444444444445
89,3.7712222222222223
90,3.77
91,3.7725274725274724
92,3.775054945054945
93,3.7775824175824178
94,3.78010989010989
95,3.7826373626373626
96,3.785164835164835
97,3.787692307692308
98,3.7902197802197803
99,3.7927472527472528
100,3.795274725274725
101,3.7978021978021976
102,3.8003296703296705
103,3.802857142857143
104,3.8053846153846154
105,3.807912087912088
106,3.8104395604395607
107,3.812967032967033
108,3.8154945054945055
109,3.818021978021978
110,3.8205494505494504
111,3.8230769230769233
112,3.8256043956043957
113,3.828131868131868
114,3.8306593406593406
115,3.8331868131868134
116,3.835714285714286
117,3.8382417582417583
118,3.8407692307692307
119,3.843296703296703
120,3.845824175824176
121,3.8483516483516484
122,3.850879120879121
123,3.8534065934065933
124,3.8559340659340657
125,3.8584615384615386
126,3.860989010989011
127,3.8635164835164835
128,3.866043956043956
129,3.8685714285714288
130,3.871098901098901
131,3.8736263736263736
132,3.876153846153846
133,3.8786813186813185
134,3.8812087912087914
135,3.883736263736264
136,3.8862637362637362
137,3.8887912087912087
138,3.8913186813186815
139,3.893846153846154
140,3.8963736263736264
141,3.898901098901099
142,3.9014285714285712
143,3.903956043956044
144,3.9064835164835165
145,3.909010989010989
146,3.9115384615384614
147,3.914065934065934
148,3.9165934065934067
149,3.919120879120879
150,3.9216483516483516
151,3.924175824175824
152,3.926703296703297
153,3.9292307692307693
154,3.9317582417582417
155,3.934285714285714
156,3.936813186813187
157,3.9393406593406595
158,3.941868131868132
159,3.9443956043956043
160,3.9469230769230768
161,3.9494505494505496
162,3.951978021978022
163,3.9545054945054945
164,3.957032967032967
165,3.9595604395604393
166,3.9620879120879122
167,3.9646153846153847
168,3.967142857142857
169,3.9696703296703295
170,3.9721978021978024
171,3.974725274725275
172,3.9772527472527472
173,3.9797802197802197
174,3.982307692307692
175,3.984835164835165
176,3.9873626373626374
177,3.98989010989011
178,3.9924175824175823
179,3.994945054945055
180,3.9974725274725276
181,4.0
182,4.000652173913044
183,4.001304347826087
184,4.001956521739131
185,4.002608695652174
186,4.003260869565217
187,4.003913043478261
188,4.004565217391304
189,4.005217391304348
190,4.005869565217392
191,4.006521739130434
192,4.007173913043478
193,4.007826086956522
194,4.008478260869565
195,4.009130434782609
196,4.0097826086956525
197,4.010434782608695
198,4.011086956521739
199,4.0117391304347825
200,4.012391304347826
201,4.01304347826087
202,4.013695652173913
203,4.014347826086956
204,4.015
205,4.015652173913043
206,4.016304347826087
207,4.0169565217391305
208,4.017608695652174
209,4.018260869565217
210,4.0189130434782605
211,4.019565217391304
212,4.020217391304348
213,4.020869565217391
214,4.021521739130435
215,4.022173913043478
216,4.022826086956521
217,4.023478260869565
218,4.024130434782609
219,4.024782608695652
220,4.025434782608696
221,4.0260869565217385
222,4.026739130434782
223,4.027391304347826
224,4.028043478260869
225,4.028695652173913
226,4.029347826086957
227,4.029999999999999
228,4.030652173913043
229,4.031304347826087
230,4.03195652173913
