date_idx,cap_rate,Series ID,Year,Label,Value,debt_to_equity_ratio,market_cap
1,0.0171935467381315,APU0000708111,2014.0,2014 Jan,2.008,3.8787777777777777,47.24
2,0.0171927949016194,APU0000708111,2014.0,2014 Jan,2.008,3.877555555555555,47.24
3,0.0171920430651074,APU0000708111,2014.0,2014 Jan,2.008,3.876333333333333,47.82
4,0.0171912912285953,APU0000708111,2014.0,2014 Jan,2.008,3.875111111111111,47.82
5,0.0171905393920832,APU0000708111,2014.0,2014 Jan,2.008,3.8738888888888887,47.82
6,0.0171897875555712,APU0000708111,2014.0,2014 Jan,2.008,3.8726666666666665,48.14
7,0.0171890357190591,APU0000708111,2014.0,2014 Jan,2.008,3.871444444444444,48.11
8,0.017188283882547,APU0000708111,2014.0,2014 Jan,2.008,3.870222222222222,47.94
9,0.017187532046035,APU0000708111,2014.0,2014 Jan,2.008,3.869,47.9
10,0.0171867802095229,APU0000708111,2014.0,2014 Jan,2.008,3.8677777777777775,48.36
11,0.0171860283730108,APU0000708111,2014.0,2014 Jan,2.008,3.8665555555555553,48.36
12,0.0171852765364988,APU0000708111,2014.0,2014 Jan,2.008,3.865333333333333,48.36
13,0.0171845246999867,APU0000708111,2014.0,2014 Jan,2.008,3.864111111111111,48.2
14,0.0171837728634746,APU0000708111,2014.0,2014 Jan,2.008,3.8628888888888886,48.53
15,0.0171830210269626,APU0000708111,2014.0,2014 Jan,2.008,3.8616666666666655,48.82
16,0.0171822691904505,APU0000708111,2014.0,2014 Jan,2.008,3.860444444444445,48.89
17,0.0171815173539385,APU0000708111,2014.0,2014 Jan,2.008,3.8592222222222223,48.68
18,0.0171807655174264,APU0000708111,2014.0,2014 Jan,2.008,3.858,48.68
19,0.0171800136809143,APU0000708111,2014.0,2014 Jan,2.008,3.856777777777778,48.68
20,0.0171792618444023,APU0000708111,2014.0,2014 Jan,2.008,3.855555555555556,48.68
21,0.0171785100078902,APU0000708111,2014.0,2014 Jan,2.008,3.854333333333333,49.05
22,0.0171777581713781,APU0000708111,2014.0,2014 Jan,2.008,3.853111111111111,48.91
23,0.0171770063348661,APU0000708111,2014.0,2014 Jan,2.008,3.851888888888889,48.5
24,0.017176254498354,APU0000708111,2014.0,2014 Jan,2.008,3.8506666666666662,47.58
25,0.0171755026618419,APU0000708111,2014.0,2014 Jan,2.008,3.849444444444445,47.58
26,0.0171747508253299,APU0000708111,2014.0,2014 Jan,2.008,3.848222222222222,47.58
27,0.0171739989888178,APU0000708111,2014.0,2014 Jan,2.008,3.847,47.19
28,0.0171732471523057,APU0000708111,2014.0,2014 Jan,2.008,3.8457777777777777,47.23
29,0.0171724953157937,APU0000708111,2014.0,2014 Jan,2.008,3.844555555555556,46.79
30,0.0171717434792816,APU0000708111,2014.0,2014 Jan,2.008,3.843333333333333,47.51
31,0.0171709916427696,APU0000708111,2014.0,2014 Jan,2.008,3.842111111111111,48.1
32,0.0171702398062575,APU0000708111,2014.0,2014 Feb,1.998,3.840888888888889,48.1
33,0.0171694879697454,APU0000708111,2014.0,2014 Feb,1.998,3.8396666666666666,48.1
34,0.0171687361332334,APU0000708111,2014.0,2014 Feb,1.998,3.838444444444444,46.96
35,0.0171679842967213,APU0000708111,2014.0,2014 Feb,1.998,3.837222222222222,47.65
36,0.0171672324602092,APU0000708111,2014.0,2014 Feb,1.998,3.836,47.81
37,0.0171664806236972,APU0000708111,2014.0,2014 Feb,1.998,3.8347777777777776,48.25
38,0.0171657287871851,APU0000708111,2014.0,2014 Feb,1.998,3.8335555555555554,48.76
39,0.017164976950673,APU0000708111,2014.0,2014 Feb,1.998,3.832333333333333,48.76
40,0.017164225114161,APU0000708111,2014.0,2014 Feb,1.998,3.831111111111111,48.76
41,0.0171634732776489,APU0000708111,2014.0,2014 Feb,1.998,3.8298888888888887,49.18
42,0.0171627214411368,APU0000708111,2014.0,2014 Feb,1.998,3.8286666666666656,49.45
43,0.0171619696046248,APU0000708111,2014.0,2014 Feb,1.998,3.827444444444444,49.06
44,0.0171612177681127,APU0000708111,2014.0,2014 Feb,1.998,3.826222222222222,49.31
45,0.0171604659316007,APU0000708111,2014.0,2014 Feb,1.998,3.825,49.76
46,0.0171597140950886,APU0000708111,2014.0,2014 Feb,1.998,3.823777777777778,49.76
47,0.0171589622585765,APU0000708111,2014.0,2014 Feb,1.998,3.822555555555556,49.76
48,0.0171582104220645,APU0000708111,2014.0,2014 Feb,1.998,3.8213333333333335,49.76
49,0.0171574585855524,APU0000708111,2014.0,2014 Feb,1.998,3.8201111111111112,49.78
50,0.0171567067490403,APU0000708111,2014.0,2014 Feb,1.998,3.818888888888889,49.76
51,0.0171559549125283,APU0000708111,2014.0,2014 Feb,1.998,3.8176666666666663,49.67
52,0.0171552030760162,APU0000708111,2014.0,2014 Feb,1.998,3.816444444444445,49.56
53,0.0171544512395041,APU0000708111,2014.0,2014 Feb,1.998,3.8152222222222223,49.56
54,0.0171536994029921,APU0000708111,2014.0,2014 Feb,1.998,3.814,49.56
55,0.01715294756648,APU0000708111,2014.0,2014 Feb,1.998,3.812777777777778,49.67
56,0.0171521957299679,APU0000708111,2014.0,2014 Feb,1.998,3.811555555555556,49.5
57,0.0171514438934559,APU0000708111,2014.0,2014 Feb,1.998,3.810333333333333,50.03
58,0.0171506920569438,APU0000708111,2014.0,2014 Feb,1.998,3.809111111111111,49.82
59,0.0171499402204318,APU0000708111,2014.0,2014 Feb,1.998,3.807888888888889,50.1
60,0.0171491883839197,APU0000708111,2014.0,2014 Mar,2.061,3.806666666666666,50.1
61,0.0171484365474076,APU0000708111,2014.0,2014 Mar,2.061,3.805444444444445,50.1
62,0.0171476847108956,APU0000708111,2014.0,2014 Mar,2.061,3.804222222222222,50.3
63,0.0171469328743835,APU0000708111,2014.0,2014 Mar,2.061,3.803,51.05
64,0.0171461810378714,APU0000708111,2014.0,2014 Mar,2.061,3.8017777777777777,50.98
65,0.0171454292013594,APU0000708111,2014.0,2014 Mar,2.061,3.800555555555556,50.81
66,0.0171446773648473,APU0000708111,2014.0,2014 Mar,2.061,3.799333333333333,50.23
67,0.0171439255283352,APU0000708111,2014.0,2014 Mar,2.061,3.798111111111111,50.23
68,0.0171431736918232,APU0000708111,2014.0,2014 Mar,2.061,3.7968888888888888,50.23
69,0.0171424218553111,APU0000708111,2014.0,2014 Mar,2.061,3.7956666666666665,49.98
70,0.017141670018799,APU0000708111,2014.0,2014 Mar,2.061,3.794444444444444,50.35
71,0.017140918182287,APU0000708111,2014.0,2014 Mar,2.061,3.793222222222222,50.4
72,0.0171401663457749,APU0000708111,2014.0,2014 Mar,2.061,3.792,50.24
73,0.0171394145092628,APU0000708111,2014.0,2014 Mar,2.061,3.7907777777777776,50.03
74,0.0171386626727508,APU0000708111,2014.0,2014 Mar,2.061,3.7895555555555553,50.03
75,0.0171379108362387,APU0000708111,2014.0,2014 Mar,2.061,3.788333333333333,50.03
76,0.0171371589997267,APU0000708111,2014.0,2014 Mar,2.061,3.7871111111111113,50.54
77,0.0171364071632146,APU0000708111,2014.0,2014 Mar,2.061,3.785888888888889,50.78
78,0.0171356553267025,APU0000708111,2014.0,2014 Mar,2.061,3.784666666666667,49.59
79,0.0171349034901905,APU0000708111,2014.0,2014 Mar,2.061,3.7834444444444446,49.8
80,0.0171341516536784,APU0000708111,2014.0,2014 Mar,2.061,3.7822222222222224,50.1
81,0.0171333998171663,APU0000708111,2014.0,2014 Mar,2.061,3.781,50.1
82,0.0171326479806543,APU0000708111,2014.0,2014 Mar,2.061,3.779777777777778,50.1
83,0.0171318961441422,APU0000708111,2014.0,2014 Mar,2.061,3.778555555555556,49.8
84,0.0171311443076301,APU0000708111,2014.0,2014 Mar,2.061,3.777333333333333,50.29
85,0.0171303924711181,APU0000708111,2014.0,2014 Mar,2.061,3.776111111111111,49.55
86,0.017129640634606,APU0000708111,2014.0,2014 Mar,2.061,3.774888888888889,50.13
87,0.0171288887980939,APU0000708111,2014.0,2014 Mar,2.061,3.7736666666666663,50.9
88,0.0171281369615819,APU0000708111,2014.0,2014 Mar,2.061,3.772444444444445,50.9
89,0.0171273851250698,APU0000708111,2014.0,2014 Mar,2.061,3.7712222222222223,50.9
90,0.0171266332885578,APU0000708111,2014.0,2014 Mar,2.061,3.77,50.94
91,0.0171403452268058,APU0000708111,2014.0,2014 Apr,2.119,3.772527472527472,51.25
92,0.0171540571650538,APU0000708111,2014.0,2014 Apr,2.119,3.775054945054945,51.11
93,0.0171677691033019,APU0000708111,2014.0,2014 Apr,2.119,3.7775824175824178,51.08
94,0.0171814810415499,APU0000708111,2014.0,2014 Apr,2.119,3.78010989010989,51.39
95,0.017195192979798,APU0000708111,2014.0,2014 Apr,2.119,3.7826373626373626,51.39
96,0.017208904918046,APU0000708111,2014.0,2014 Apr,2.119,3.785164835164835,51.39
97,0.017222616856294,APU0000708111,2014.0,2014 Apr,2.119,3.787692307692308,51.92
98,0.0172363287945421,APU0000708111,2014.0,2014 Apr,2.119,3.79021978021978,51.99
99,0.0172500407327901,APU0000708111,2014.0,2014 Apr,2.119,3.7927472527472528,52.03
100,0.0172637526710382,APU0000708111,2014.0,2014 Apr,2.119,3.795274725274725,51.91
101,0.0172774646092862,APU0000708111,2014.0,2014 Apr,2.119,3.7978021978021976,51.7
102,0.0172911765475343,APU0000708111,2014.0,2014 Apr,2.119,3.8003296703296714,51.7
103,0.0173048884857823,APU0000708111,2014.0,2014 Apr,2.119,3.802857142857143,51.7
104,0.0173186004240303,APU0000708111,2014.0,2014 Apr,2.119,3.805384615384616,52.23
105,0.0173323123622784,APU0000708111,2014.0,2014 Apr,2.119,3.807912087912088,52.81
106,0.0173460243005264,APU0000708111,2014.0,2014 Apr,2.119,3.8104395604395607,53.32
107,0.0173597362387745,APU0000708111,2014.0,2014 Apr,2.119,3.812967032967033,52.78
108,0.0173734481770225,APU0000708111,2014.0,2014 Apr,2.119,3.8154945054945055,52.78
109,0.0173871601152705,APU0000708111,2014.0,2014 Apr,2.119,3.818021978021978,52.78
110,0.0174008720535186,APU0000708111,2014.0,2014 Apr,2.119,3.8205494505494495,52.78
111,0.0174145839917666,APU0000708111,2014.0,2014 Apr,2.119,3.8230769230769233,53.03
112,0.0174282959300147,APU0000708111,2014.0,2014 Apr,2.119,3.825604395604396,53.03
113,0.0174420078682627,APU0000708111,2014.0,2014 Apr,2.119,3.828131868131868,53.06
114,0.0174557198065108,APU0000708111,2014.0,2014 Apr,2.119,3.830659340659341,53.18
115,0.0174694317447588,APU0000708111,2014.0,2014 Apr,2.119,3.833186813186813,53.0
116,0.0174831436830068,APU0000708111,2014.0,2014 Apr,2.119,3.835714285714286,53.0
117,0.0174968556212549,APU0000708111,2014.0,2014 Apr,2.119,3.8382417582417583,53.0
118,0.0175105675595029,APU0000708111,2014.0,2014 Apr,2.119,3.840769230769231,53.24
119,0.017524279497751,APU0000708111,2014.0,2014 Apr,2.119,3.843296703296703,53.52
120,0.017537991435999,APU0000708111,2014.0,2014 Apr,2.119,3.845824175824176,53.82
121,0.017551703374247,APU0000708111,2014.0,2014 May,1.996,3.848351648351648,53.96
122,0.0175654153124951,APU0000708111,2014.0,2014 May,1.996,3.850879120879121,53.78
123,0.0175791272507431,APU0000708111,2014.0,2014 May,1.996,3.853406593406593,53.78
124,0.0175928391889912,APU0000708111,2014.0,2014 May,1.996,3.8559340659340657,53.78
125,0.0176065511272392,APU0000708111,2014.0,2014 May,1.996,3.8584615384615386,54.08
126,0.0176202630654873,APU0000708111,2014.0,2014 May,1.996,3.860989010989011,53.88
127,0.0176339750037353,APU0000708111,2014.0,2014 May,1.996,3.863516483516484,54.61
128,0.0176476869419833,APU0000708111,2014.0,2014 May,1.996,3.866043956043956,54.71
129,0.0176613988802314,APU0000708111,2014.0,2014 May,1.996,3.8685714285714288,54.58
130,0.0176751108184794,APU0000708111,2014.0,2014 May,1.996,3.871098901098901,54.58
131,0.0176888227567275,APU0000708111,2014.0,2014 May,1.996,3.8736263736263736,54.58
132,0.0177025346949755,APU0000708111,2014.0,2014 May,1.996,3.876153846153846,54.71
133,0.0177162466332235,APU0000708111,2014.0,2014 May,1.996,3.8786813186813194,54.25
134,0.0177299585714716,APU0000708111,2014.0,2014 May,1.996,3.881208791208792,54.15
135,0.0177436705097196,APU0000708111,2014.0,2014 May,1.996,3.883736263736264,54.34
136,0.0177573824479677,APU0000708111,2014.0,2014 May,1.996,3.886263736263736,54.73
137,0.0177710943862157,APU0000708111,2014.0,2014 May,1.996,3.8887912087912087,54.73
138,0.0177848063244638,APU0000708111,2014.0,2014 May,1.996,3.8913186813186815,54.73
139,0.0177985182627118,APU0000708111,2014.0,2014 May,1.996,3.893846153846154,54.54
