Date_Index,Daily Estimated Operating Income
1,572.8666666666667
2,572.7333333333333
3,572.6
4,572.4666666666667
5,572.3333333333334
6,572.2
7,572.0666666666667
8,571.9333333333333
9,571.8
10,571.6666666666666
11,571.5333333333333
12,571.4
13,571.2666666666667
14,571.1333333333333
15,571.0
16,570.8666666666667
17,570.7333333333333
18,570.6
19,570.4666666666667
20,570.3333333333334
21,570.2
22,570.0666666666667
23,569.9333333333333
24,569.8
25,569.6666666666666
26,569.5333333333333
27,569.4
28,569.2666666666667
29,569.1333333333333
30,569.0
31,568.8666666666667
32,568.7333333333333
33,568.6
34,568.4666666666667
35,568.3333333333334
36,568.2
37,568.0666666666667
38,567.9333333333333
39,567.8
40,567.6666666666666
41,567.5333333333333
42,567.4
43,567.2666666666667
44,567.1333333333333
45,567.0
46,566.8666666666667
47,566.7333333333333
48,566.6
49,566.4666666666667
50,566.3333333333334
51,566.2
52,566.0666666666667
53,565.9333333333333
54,565.8
55,565.6666666666666
56,565.5333333333333
57,565.4
58,565.2666666666667
59,565.1333333333333
60,565.0
61,564.8666666666667
62,564.7333333333333
63,564.6
64,564.4666666666667
65,564.3333333333334
66,564.2
67,564.0666666666667
68,563.9333333333333
69,563.8
70,563.6666666666666
71,563.5333333333333
72,563.4
73,563.2666666666667
74,563.1333333333333
75,563.0
76,562.8666666666667
77,562.7333333333333
78,562.6
79,562.4666666666667
80,562.3333333333334
81,562.2
82,562.0666666666667
83,561.9333333333333
84,561.8
85,561.6666666666666
86,561.5333333333333
87,561.4
88,561.2666666666667
89,561.1333333333333
90,561.0
91,561.010989010989
92,561.021978021978
93,561.032967032967
94,561.0439560439561
95,561.054945054945
96,561.065934065934
97,561.0769230769231
98,561.0879120879121
99,561.0989010989011
100,561.1098901098901
101,561.1208791208791
102,561.1318681318681
103,561.1428571428571
104,561.1538461538462
105,561.1648351648352
106,561.1758241758242
107,561.1868131868132
108,561.1978021978022
109,561.2087912087912
110,561.2197802197802
111,561.2307692307693
112,561.2417582417582
113,561.2527472527472
114,561.2637362637363
115,561.2747252747253
116,561.2857142857143
117,561.2967032967033
118,561.3076923076923
119,561.3186813186813
120,561.3296703296703
121,561.3406593406594
122,561.3516483516484
123,561.3626373626373
124,561.3736263736264
125,561.3846153846154
126,561.3956043956044
127,561.4065934065934
128,561.4175824175824
129,561.4285714285714
130,561.4395604395604
131,561.4505494505495
132,561.4615384615385
133,561.4725274725274
134,561.4835164835165
135,561.4945054945055
136,561.5054945054945
137,561.5164835164835
138,561.5274725274726
139,561.5384615384615
140,561.5494505494505
141,561.5604395604396
142,561.5714285714286
143,561.5824175824176
144,561.5934065934066
145,561.6043956043956
146,561.6153846153846
147,561.6263736263736
148,561.6373626373627
149,561.6483516483516
150,561.6593406593406
151,561.6703296703297
152,561.6813186813187
153,561.6923076923077
154,561.7032967032967
155,561.7142857142857
156,561.7252747252747
157,561.7362637362637
158,561.7472527472528
159,561.7582417582418
160,561.7692307692307
161,561.7802197802198
162,561.7912087912088
163,561.8021978021978
164,561.8131868131868
165,561.8241758241758
166,561.8351648351648
167,561.8461538461538
168,561.8571428571429
169,561.8681318681319
170,561.8791208791209
171,561.8901098901099
172,561.9010989010989
173,561.9120879120879
174,561.9230769230769
175,561.934065934066
176,561.945054945055
177,561.9560439560439
178,561.967032967033
179,561.978021978022
180,561.989010989011
181,562.0
182,562.5
183,563.0
184,563.5
185,564.0
186,564.5
187,565.0
188,565.5
189,566.0
190,566.5
191,567.0
192,567.5
193,568.0
194,568.5
195,569.0
196,569.5
197,570.0
198,570.5
199,571.0
200,571.5
201,572.0
202,572.5
203,573.0
204,573.5
205,574.0
206,574.5
207,575.0
208,575.5
209,576.0
210,576.5
211,577.0
212,577.5
213,578.0
214,578.5
215,579.0
216,579.5
217,580.0
218,580.5
219,581.0
220,581.5
221,582.0
222,582.5
223,583.0
224,583.5
225,584.0
226,584.5
227,585.0
228,585.5
229,586.0
230,586.5
231,587.0
232,587.5
233,588.0
234,588.5
235,589.0
236,589.5
237,590.0
238,590.5
239,591.0
240,591.5
241,592.0
242,592.5
243,593.0
244,593.5
245,594.0
246,594.5
247,595.0
248,595.5
249,596.0
250,596.5
251,597.0
252,597.5
253,598.0
254,598.5
255,599.0
256,599.5
257,600.0
258,600.5
259,601.0
260,601.5
261,602.0
262,602.5
263,603.0
264,603.5
265,604.0
266,604.5
267,605.0
268,605.5
269,606.0
270,606.5
271,607.0
272,607.5
273,608.0
274,608.5108695652174
275,609.0217391304348
276,609.5326086956521
277,610.0434782608696
278,610.554347826087
279,611.0652173913044
280,611.5760869565217
281,612.0869565217391
282,612.5978260869565
283,613.1086956521739
284,613.6195652173913
285,614.1304347826087
286,614.6413043478261
287,615.1521739130435
288,615.6630434782609
289,616.1739130434783
290,616.6847826086956
291,617.195652173913
292,617.7065217391304
293,618.2173913043479
294,618.7282608695652
295,619.2391304347826
296,619.75
297,620.2608695652174
298,620.7717391304348
299,621.2826086956521
300,621.7934782608696
301,622.304347826087
302,622.8152173913044
303,623.3260869565217
304,623.8369565217391
305,624.3478260869565
306,624.8586956521739
307,625.3695652173913
308,625.8804347826087
309,626.3913043478261
310,626.9021739130435
311,627.4130434782609
312,627.9239130434783
313,628.4347826086956
314,628.945652173913
315,629.4565217391305
316,629.9673913043479
317,630.4782608695652
318,630.9891304347826
319,631.5
320,632.0108695652174
321,632.5217391304348
322,633.0326086956521
323,633.5434782608696
324,634.054347826087
325,634.5652173913044
326,635.0760869565217
327,635.5869565217391
328,636.0978260869565
329,636.6086956521739
330,637.1195652173913
331,637.6304347826087
332,638.1413043478261
333,638.6521739130435
334,639.1630434782609
335,639.6739130434783
336,640.1847826086956
337,640.695652173913
338,641.2065217391305
339,641.7173913043479
340,642.2282608695652
341,642.7391304347826
342,643.25
343,643.7608695652174
344,644.2717391304348
345,644.7826086956521
346,645.2934782608696
347,645.804347826087
348,646.3152173913044
349,646.8260869565217
350,647.3369565217391
351,647.8478260869565
352,648.3586956521739
353,648.8695652173913
354,649.3804347826087
355,649.8913043478261
356,650.4021739130435
357,650.9130434782609
358,651.4239130434783
359,651.9347826086956
360,652.445652173913
361,652.9565217391305
362,653.4673913043479
363,653.9782608695652
364,654.4891304347826
365,655.0
366,654.3777777777777
367,653.7555555555556
368,653.1333333333333
369,652.5111111111111
370,651.8888888888889
371,651.2666666666667
372,650.6444444444444
373,650.0222222222222
374,649.4
375,648.7777777777778
376,648.1555555555556
377,647.5333333333333
378,646.9111111111112
379,646.2888888888889
380,645.6666666666666
381,645.0444444444445
382,644.4222222222222
383,643.8
384,643.1777777777778
385,642.5555555555555
386,641.9333333333333
387,641.3111111111111
388,640.6888888888889
389,640.0666666666667
390,639.4444444444445
391,638.8222222222222
392,638.2
393,637.5777777777778
394,636.9555555555555
395,636.3333333333334
396,635.7111111111111
397,635.0888888888888
398,634.4666666666667
399,633.8444444444444
400,633.2222222222222
401,632.6
402,631.9777777777778
403,631.3555555555556
404,630.7333333333333
405,630.1111111111111
406,629.4888888888889
407,628.8666666666667
408,628.2444444444444
409,627.6222222222223
410,627.0
411,626.3777777777777
412,625.7555555555556
413,625.1333333333333
414,624.5111111111111
415,623.8888888888889
416,623.2666666666667
417,622.6444444444444
418,622.0222222222222
419,621.4
420,620.7777777777778
421,620.1555555555556
422,619.5333333333333
423,618.9111111111112
424,618.2888888888889
425,617.6666666666666
426,617.0444444444445
427,616.4222222222222
428,615.8
429,615.1777777777778
430,614.5555555555555
431,613.9333333333333
432,613.3111111111111
433,612.6888888888889
434,612.0666666666666
435,611.4444444444445
436,610.8222222222222
437,610.2
438,609.5777777777778
439,608.9555555555555
440,608.3333333333334
441,607.7111111111111
442,607.0888888888888
443,606.4666666666667
444,605.8444444444444
445,605.2222222222222
446,604.6
447,603.9777777777778
448,603.3555555555556
449,602.7333333333333
450,602.1111111111111
451,601.4888888888889
452,600.8666666666667
453,600.2444444444444
454,599.6222222222223
455,599.0
456,600.1318681318681
457,601.2637362637363
458,602.3956043956044
459,603.5274725274726
460,604.6593406593406
461,605.7912087912088
462,606.9230769230769
463,608.054945054945
464,609.1868131868132
465,610.3186813186813
466,611.4505494505495
467,612.5824175824176
468,613.7142857142857
469,614.8461538461538
470,615.978021978022
471,617.1098901098901
472,618.2417582417582
473,619.3736263736264
474,620.5054945054945
475,621.6373626373627
476,622.7692307692307
477,623.9010989010989
478,625.032967032967
479,626.1648351648352
480,627.2967032967033
481,628.4285714285714
482,629.5604395604396
483,630.6923076923077
484,631.8241758241759
485,632.9560439560439
486,634.0879120879121
487,635.2197802197802
488,636.3516483516484
489,637.4835164835165
490,638.6153846153846
491,639.7472527472528
492,640.8791208791208
493,642.010989010989
